origin,destination,Traffic_flow_trucks_2010,Traffic_flow_trucks_2019,Traffic_flow_trucks_2030,Traffic_flow_tons_2010,Traffic_flow_tons_2019,Traffic_flow_tons_2030
106977,111428,4686.25,4537.5,4366.25,63733.0,61710.0,59381.0
106977,111465,731.25,708.75,681.25,9945.0,9639.0,9265.0
106977,111551,745.0,721.25,695.0,10132.0,9809.0,9452.0
106977,111588,1491.25,1445.0,1390.0,20281.0,19652.0,18904.0
106977,111603,2016.25,1952.5,1880.0,27421.0,26554.0,25568.0
106977,111621,18585.0,20748.75,23736.25,252756.0,282183.0,322813.0
106977,111699,9661.25,10581.25,11868.75,131393.0,143905.0,161415.0
106977,181083,46.25,51.25,58.75,629.0,697.0,799.0
106977,181085,952.5,923.75,888.75,12954.0,12563.0,12087.0
106977,195938,16817.5,18771.25,21478.75,228718.0,255289.0,292111.0
106987,110970,43903.75,42541.25,40932.5,597091.0,578561.0,556682.0
106987,111036,10928.75,10587.5,10188.75,148631.0,143990.0,138567.0
106987,111059,12916.25,14925.0,17805.0,175661.0,202980.0,242148.0
106987,111164,53098.75,51451.25,49510.0,722143.0,699737.0,673336.0
106987,111186,541.25,718.75,1028.75,7361.0,9775.0,13991.0
106987,111217,50907.5,55180.0,61390.0,692342.0,750448.0,834904.0
106987,111243,19311.25,18712.5,18005.0,262633.0,254490.0,244868.0
106987,111322,36310.0,35185.0,33852.5,493816.0,478516.0,460394.0
106987,111349,14933.75,14470.0,13922.5,203099.0,196792.0,189346.0
106987,111359,15017.5,14551.25,14001.25,204238.0,197897.0,190417.0
106987,111442,108360.0,104997.5,101025.0,1473696.0,1427966.0,1373940.0
106987,111471,9545.0,9248.75,8900.0,129812.0,125783.0,121040.0
106987,111496,25333.75,24545.0,23618.75,344539.0,333812.0,321215.0
106987,111529,36176.25,35052.5,33728.75,491997.0,476714.0,458711.0
106987,111555,75682.5,73333.75,70561.25,1029282.0,997339.0,959633.0
106987,111603,18821.25,18237.5,17548.75,255969.0,248030.0,238663.0
106987,111621,28107.5,37557.5,59925.0,382262.0,510782.0,814980.0
106987,111657,32658.75,31645.0,30446.25,444159.0,430372.0,414069.0
106987,111699,13801.25,15216.25,17831.25,187697.0,206941.0,242505.0
106987,181083,41712.5,40416.25,38888.75,567290.0,549661.0,528887.0
106987,181085,11316.25,10965.0,10550.0,153901.0,149124.0,143480.0
106987,195727,13177.5,12766.25,12285.0,179214.0,173621.0,167076.0
106987,195913,16581.25,16971.25,17878.75,225505.0,230809.0,243151.0
106987,195938,82285.0,87047.5,94340.0,1119076.0,1183846.0,1283024.0
106997,110970,35452.5,34352.5,33053.75,482154.0,467194.0,449531.0
106997,111036,6497.5,6295.0,6056.25,88366.0,85612.0,82365.0
106997,111059,21701.25,25068.75,29907.5,295137.0,340935.0,406742.0
106997,111164,45437.5,44025.0,42357.5,617950.0,598740.0,576062.0
106997,111186,815.0,1092.5,1556.25,11084.0,14858.0,21165.0
106997,111217,93672.5,103238.75,117077.5,1273946.0,1404047.0,1592254.0
106997,111243,9867.5,9562.5,9200.0,134198.0,130050.0,125120.0
106997,111322,14790.0,14330.0,13790.0,201144.0,194888.0,187544.0
106997,111349,8348.75,8088.75,7782.5,113543.0,110007.0,105842.0
106997,111359,4556.25,4415.0,4248.75,61965.0,60044.0,57783.0
106997,111442,51147.5,49557.5,47683.75,695606.0,673982.0,648499.0
106997,111471,4476.25,4336.25,4170.0,60877.0,58973.0,56712.0
106997,111496,13366.25,12952.5,12461.25,181781.0,176154.0,169473.0
106997,111529,36658.75,35518.75,34176.25,498559.0,483055.0,464797.0
106997,111555,13337.5,12925.0,12435.0,181390.0,175780.0,169116.0
106997,111603,14402.5,13952.5,13426.25,195874.0,189754.0,182597.0
106997,111621,36537.5,43438.75,56342.5,496910.0,590767.0,766258.0
106997,111657,76683.75,74301.25,71495.0,1042899.0,1010497.0,972332.0
106997,111699,41457.5,51245.0,68045.0,563822.0,696932.0,925412.0
106997,181083,27908.75,38300.0,68146.25,379559.0,520880.0,926789.0
106997,181085,5718.75,5540.0,5331.25,77775.0,75344.0,72505.0
106997,195727,5203.75,5042.5,4851.25,70771.0,68578.0,65977.0
106997,195913,13680.0,15127.5,17736.25,186048.0,205734.0,241213.0
106997,195938,115458.75,121842.5,131851.25,1570239.0,1657058.0,1793177.0
110970,111052,54921.25,53216.25,51206.25,746929.0,723741.0,696405.0
110970,111059,20340.0,23315.0,27556.25,276624.0,317084.0,374765.0
110970,111069,25680.0,24882.5,23942.5,349248.0,338402.0,325618.0
110970,111077,68695.0,66562.5,64046.25,934252.0,905250.0,871029.0
110970,111164,41832.5,40531.25,39000.0,568922.0,551225.0,530400.0
110970,111186,64125.0,79796.25,108380.0,872100.0,1085229.0,1473968.0
110970,111208,24897.5,24123.75,23211.25,338606.0,328083.0,315673.0
110970,111217,15116.25,14960.0,14776.25,205581.0,203456.0,200957.0
110970,111243,20390.0,19756.25,19010.0,277304.0,268685.0,258536.0
110970,111283,92176.25,89313.75,85937.5,1253597.0,1214667.0,1168750.0
110970,111322,59493.75,57647.5,55468.75,809115.0,784006.0,754375.0
110970,111359,282583.75,273820.0,263477.5,3843139.0,3723952.0,3583294.0
110970,111366,61380.0,59475.0,57226.25,834768.0,808860.0,778277.0
110970,111428,26900.0,26065.0,25080.0,365840.0,354484.0,341088.0
110970,111442,191452.5,185510.0,178496.25,2603754.0,2522936.0,2427549.0
